0,null                                                                                                                                                                                                     ,Please supply your first name                           ,
0,N                                                                                                                                                                                                        ,Please enter more than 2 characters
1,null                                                                                                                                                                                                     ,Please supply your last name                            ,
1,N                                                                                                                                                                                                        ,Please enter more than 2 characters                     ,
2,null                                                                                                                                                                                                     ,Please supply your email address                        ,
2,N                                                                                                                                                                                                        ,Please supply a valid email address                     ,
2,N@N@n.pl                                                                                                                                                                                                 ,Please supply a valid email address                     ,
3,null                                                                                                                                                                                                     ,Please supply your phone number                         ,
3,NNNNNNNNNN                                                                                                                                                                                               ,Please supply a vaild phone number with area code       ,
4,NNNNNNN                                                                                                                                                                                                  ,Please enter more than 8 characters                     ,
4,null                                                                                                                                                                                                     ,Please supply your street address                       ,
5,NNN                                                                                                                                                                                                      ,Please enter more than 4 characters                     ,
5,null                                                                                                                                                                                                     ,Please supply your city                                 ,
7,123                                                                                                                                                                                                      ,Please supply a vaild zip code                          ,
7,123456                                                                                                                                                                                                   ,Please supply a vaild zip code                          ,
7,NNNNN                                                                                                                                                                                                    ,Please supply a vaild zip code                          ,
7,null                                                                                                                                                                                                     ,Please supply your zip code                             ,
9,NNNNNNNNN                                                                                                                                                                                                ,Please enter at least 10 characters and no more than 200,
9,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,Please enter at least 10 characters and no more than 200,

