0,name                                                                                                                                                                                                     ,true ,
0,null                                                                                                                                                                                                     ,false,Please supply your first name                           ,
0,N                                                                                                                                                                                                        ,false,Please enter more than 2 characters
1,surname                                                                                                                                                                                                  ,true ,
1,null                                                                                                                                                                                                     ,false,Please supply your last name                            ,
1,N                                                                                                                                                                                                        ,false,Please enter more than 2 characters                     ,
2,N@N.pl                                                                                                                                                                                                   ,true ,
2,null                                                                                                                                                                                                     ,false,Please supply your email address                        ,
2,N                                                                                                                                                                                                        ,false,Please supply a valid email address                     ,
2,N@N.pl                                                                                                                                                                                                   ,true ,
2,N@N@n.pl                                                                                                                                                                                                 ,false,Please supply a valid email address                     ,
3,1545133523                                                                                                                                                                                               ,true ,
3,(154)5133523                                                                                                                                                                                             ,true ,
3,null                                                                                                                                                                                                     ,false,Please supply your phone number                         ,
3,NNNNNNNNNN                                                                                                                                                                                               ,false,Please supply a vaild phone number with area code       ,
4,NNNNNNNN                                                                                                                                                                                                 ,true ,
4,NNNNNNN                                                                                                                                                                                                  ,false,Please enter more than 8 characters                     ,
4,null                                                                                                                                                                                                     ,false,Please supply your street address                       ,
5,NNNN                                                                                                                                                                                                     ,true ,
5,NNN                                                                                                                                                                                                      ,false,Please enter more than 4 characters                     ,
5,null                                                                                                                                                                                                     ,false,Please supply your city                                 ,
7,12345                                                                                                                                                                                                    ,true ,
7,123                                                                                                                                                                                                     ,false,Please supply a vaild zip code                          ,
7,123456                                                                                                                                                                                                   ,false,Please supply a vaild zip code                          ,
7,NNNNN                                                                                                                                                                                                    ,false,Please supply a vaild zip code                          ,
7,null                                                                                                                                                                                                     ,false,Please supply your zip code                             ,
9,NNNNNNNNNN                                                                                                                                                                                               ,true ,
9,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN ,true ,
9,NNNNNNNNN                                                                                                                                                                                                ,false,Please enter at least 10 characters and no more than 200,
9,NNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNNN,false,Please enter at least 10 characters and no more than 200,

